source,item_id,code,category_id,category,intent,customer_utterances,agent_response,agent_action,status,notes
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG001,SNG001,renewal_status,Renewal status,error_senang_sng001,I got error SNG001; Your vehicle has already been renewed. Please check with Insurance Provider or contact the customer service team for a personalised quote.,"Vehicle already renewed.
Your vehicle has already been renewed. Please contact your insurance provider if you need help.
[{senang code}]",Explain that the vehicle appears already renewed and guide the customer to their insurer or support.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG002,SNG002,renewal_timing,Renewal timing,error_senang_sng002,I got error SNG002; Your policy isn't expiring soon (expiry date),"Too early to renew.
Your policy is not expiring soon. Please check back as early as 60 days before expiry date.
[{senang code}]",Tell the customer renewal is too early and ask them to return within the renewal window.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG003,SNG003,identity_vehicle_validation,Identity / vehicle validation,error_senang_sng003,I got error SNG003; The combination of NRIC and Vehicle Number is not correct,"ID and vehicle mismatch.
Your ID number and vehicle number don't match. Please check your details and try again.
[{senang code}]","Ask the customer to verify NRIC or passport number and vehicle registration, then retry.",ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG004,SNG004,temporary_system_error,Temporary system issue,error_senang_sng004,"I got error SNG004; We're sorry, we can't process your request online at the moment.","Oops! Something went wrong.
Please try again in 5 minutes. If the issue persists, contact us on CoverMi WhatsApp at 013-435 9113.
[{senang code}]",Ask the customer to retry after 5 minutes; escalate to CoverMi WhatsApp if it persists.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG005,SNG005,vehicle_eligibility,Vehicle eligibility,error_senang_sng005,I got error SNG005; Your vehicle has exceeded the renewal age limit.,"Vehicle exceeds renewal age.
We're unable to process the request. Your vehicle has exceeded the renewal age limit. [{senang code}]",Explain that the vehicle is outside online renewal eligibility.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG006,SNG006,vehicle_lookup,Vehicle lookup,error_senang_sng006,I got error SNG006; You cannot purchase insurance online as the age range of the vehicle owner and the vehicle is not available in the system.,"Vehicle not found.
We couldn't find any matching vehicle details. Please check your details and try again.
[{senang code}]",Ask the customer to check vehicle details and retry.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG007,SNG007,identity_vehicle_validation,Identity / vehicle validation,error_senang_sng007,"I got error SNG007; The values entered does not match with JPJ Data. Please ensure that the ID Number and Vehicle Number are the same. Alternatively, please contact the customer service team for a personalised quote.","ID and vehicle mismatch.
The ID number and vehicle number don't match. Please check your details and try again.
[{senang code}]","Ask the customer to verify NRIC or passport number and vehicle registration, then retry.",ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG007E,SNG007E,temporary_system_error,Temporary system issue,error_senang_sng007e,I got error SNG007E; Your vehicle is pending confirmation for JPJ approval. Please contact the customer service team to find out the status of approval.,"Oops! Something went wrong.
Please try again in 5 minutes. If the issue persists, contact us on CoverMi WhatsApp at 013-435 9113.
[{senang code}]",Ask the customer to retry after 5 minutes; escalate to CoverMi WhatsApp if it persists.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG008,SNG008,vehicle_lookup,Vehicle lookup,error_senang_sng008,I got error SNG008; Your vehicle is not available for online quotation. Please contact customer service team for a personalised quote.,"Vehicle not found.
We couldn't find any matching vehicle details. Please check your details and try again.
[{senang code}]",Ask the customer to check vehicle details and retry.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG009,SNG009,general_error,General error,error_senang_sng009,I got error SNG009; The takaful contribution quotation will be different as the quote validity has expired. Please contact customer service team if you have further questions.,"Quote expired.
Please request a new quotation to continue.
[{senang code}]",Use the approved message and escalate if the customer cannot proceed.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG010,SNG010,temporary_system_error,Temporary system issue,error_senang_sng010,I got error SNG010; The system is currently down. Please contact customer service team for a personalised quote.,"Oops! Something went wrong.
Please try again in 5 minutes. If the issue persists, contact us on CoverMi WhatsApp at 013-435 9113.
[{senang code}]",Ask the customer to retry after 5 minutes; escalate to CoverMi WhatsApp if it persists.,ready,Ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / senang_code,ERR-SENANG-SNG011,SNG011,general_error,General error,error_senang_sng011,I got error SNG011; Unable to issue the insurance policy because the vehicle is currently blacklisted or the cover note has been canceled. Please contact customer service team for a personalised quote.-,"Policy couldn't be issued.
The vehicle is blacklisted or the cover note has been canceled. Contact us on CoverMi WhatsApp at 013-435 9113 for assistance.
[{senang code}]",Use the approved message and escalate if the customer cannot proceed.,ready,Ok to proceed
