source,item_id,code,category_id,category,intent,customer_utterances,agent_response,agent_action,status,notes
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100000,100000,general,General,error_response_success,I got error code 100000; SUCCESS,Request Success,No troubleshooting needed; proceed with the customer journey.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100001,100001,general,General,error_response_general_failure,I got error code 100001; GENERAL_FAILURE,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100002,100002,general,General,error_response_access_denied,I got error code 100002; ACCESS_DENIED,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100003,100003,general,General,error_response_invalid_token,I got error code 100003; INVALID_TOKEN,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100004,100004,general,General,error_response_resource_not_found,I got error code 100004; RESOURCE_NOT_FOUND,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100005,100005,general,General,error_response_method_not_allow,I got error code 100005; METHOD_NOT_ALLOW,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100006,100006,general,General,error_response_encryption_failed,I got error code 100006; ENCRYPTION_FAILED,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100007,100007,general,General,error_response_decryption_failed,I got error code 100007; DECRYPTION_FAILED,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100008,100008,general,General,error_response_parameter_missing,I got error code 100008; PARAMETER_MISSING,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100009,100009,general,General,error_response_outdated_data_locking,I got error code 100009; OUTDATED_DATA_LOCKING,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
