source,item_id,category_id,category,intent,customer_utterances,agent_response,answer_variants,status,notes
CoverMi FAQ.docx,FAQ-001,road_tax,Road tax & JPJ,faq_renew_car_insurance_and_road_tax_covermi,How do I renew my car insurance and road tax with CoverMi?,"Simply visit our homepage, select your vehicle, and click ""Get Quote."" You'll be asked to enter a few basic details such as your vehicle registration number, MyKad (NRIC) or Passport number, and E-mail address. We'll then instantly display competitive quotes from trusted insurance providers, allowing you to compare coverage options and features side by side before choosing the one that best fits your needs.",,ready,
CoverMi FAQ.docx,FAQ-002,road_tax,Road tax & JPJ,faq_renew_road_tax_without_insurance,Can I renew my road tax without insurance?,The answer is No. JPJ requires you to have valid motor (as in vehicle) insurance before you can renew your road tax. CoverMi makes this easy by bundling both into one smooth process.,,ready,
CoverMi FAQ.docx,FAQ-003,support,"Support, complaints & account help",faq_renew_insurance_has_already_expired,Can I renew if my insurance has already expired?,"No, the renewal process becomes more complicated once your insurance has expired, especially if it has lapsed for a long period. You'll need to return to your previous insurance provider to renew it. For example, if your previous insurer was Allianz, you must go back to Allianz. If you wish to switch to another insurance company afterward, you'll still need to follow this process: renew with your previous insurer first, cancel it, and then purchase a new policy with your preferred provider, such as CoverMi.",,ready,
CoverMi FAQ.docx,FAQ-004,renew_quote,Renewal & quotation,faq_which_insurance_providers_covermi_work,Which insurance providers does CoverMi work with?,"We partner with Malaysia's leading insurance providers to offer you comprehensive coverage options, including:
Takaful Ikhlas General Berhad
Syarikat Takaful Malaysia Am Berhad
Allianz General Insurance Berhad
Zurich General Takaful Malaysia Berhad
And more insurance partners are coming soon.",,ready,
CoverMi FAQ.docx,FAQ-005,road_tax,Road tax & JPJ,faq_vehicles_insure_through_covermi,What vehicles can I insure through CoverMi?,"Our services cover:
- Private cars
- Motorcycles
Note: For e-hailing vehicles, we currently offer insurance renewal only, without road tax renewal services.",,ready,
CoverMi FAQ.docx,FAQ-006,payment,Payment & transaction,faq_benefits_renewing_covermi,What are the benefits of renewing with CoverMi?,"- Competitive Rates from Multiple Insurers
- Hassle-Free Documentation
- 24/7 Customer Support
- Instant Policy Issuance
- Secure Payment Options
- Authorized Provider",,ready,
CoverMi FAQ.docx,FAQ-007,road_tax,Road tax & JPJ,faq_don_t_remember_insurance_and_road_tax,What if I don't remember my insurance and road tax expiry dates?,"We will send automatic reminders via:
- Email notifications
- WhatsApp messages
- SMS alerts
You'll receive notifications ahead of your renewal dates to ensure continuous coverage, so you'll never have to worry about missing an expiry again",,ready,
CoverMi FAQ.docx,FAQ-008,payment,Payment & transaction,faq_payment_methods_available,What payment methods are available?,"For now, we only accept online banking (FPX) and digital wallets. All payments are processed securely through our encrypted payment gateway.",,ready,
CoverMi FAQ.docx,FAQ-009,payment,Payment & transaction,faq_offer_instalment_payments_bnpl,Do you offer instalment payments (BNPL)?,"Yes. This features is coming soon.
We partner with selected Buy Now Pay Later providers such as Atome and PayLater by Grab so you can split your payments into affordable installments. BNPL is also known as Cover Now, Pay Later (CNPL) with CoverMi.",,ready,
CoverMi FAQ.docx,FAQ-010,payment,Payment & transaction,faq_payment_secure,Is my payment secure?,"Absolutely. All transactions on CoverMi are encrypted and processed through compliant payment gateways, ensuring your information is fully protected.",,ready,
